feature,gain,split
max_lift,159155.26183602214,1041
completeness,117259.789049685,531
max_confidence,102385.27840584517,631
cand_popularity_rank,53531.17958128452,284
city_rank,48666.57229423523,455
fills_missing_slot,27384.061237454414,228
veg_compatible,27066.856942892075,129
completeness_gap,25138.923437535763,243
total_co_count,24169.000545442104,828
price_ratio,22712.718317180872,1639
cand_avg_price,21706.401675641537,413
popularity_x_lift,20466.40553188324,475
price_vs_user_avg,19398.916869699955,1445
cand_typical_role,18608.52080631256,94
cart_value,16665.353502884507,1296
item_emb_0,14661.58439552784,337
user_avg_order_value,13461.566421747208,1221
item_emb_14,10399.896103858948,244
cart_has_main,10383.843308329582,39
restaurant,8439.003570914268,175
city_lift,8084.528429022059,677
user_avg_items,7906.14354237169,791
items_in_cart,7638.9458483457565,288
item_emb_11,7286.970341205597,270
cand_solo_ratio,7205.56453666091,314
complement_fills_gap,6912.043061971664,120
item_emb_6,6664.32022190094,247
item_emb_4,6364.83893340826,249
item_emb_2,6291.825335890055,283
llm_context_compatibility,5930.317283630371,433
item_emb_7,5721.592539608479,318
llm_cold_start_boost,5515.051257610321,613
item_emb_9,5509.841272741556,300
cand_order_frequency,5330.09081422165,105
cand_category,5323.953976154327,103
item_emb_10,4839.489670395851,250
user_single_item_ratio,4836.45434011519,402
item_emb_13,4760.052344977856,273
item_emb_3,4638.341425538063,269
item_emb_1,4332.46561691165,246
llm_cuisine_cat_affinity,4282.011867940426,322
user_order_count,4232.866474315524,470
item_emb_5,4190.409527212381,277
item_emb_8,4064.2367523908615,268
item_emb_12,3704.561701864004,247
user_weekend_ratio,3680.52867853723,451
cart_size_bucket,3642.349153995514,76
item_emb_15,3451.537370081991,257
hour_sin,3033.0102962851524,367
order_hour,2900.57748529315,382
hour_cos,2404.1501725912094,292
cart_has_side,2381.155254662037,86
cuisine_city_share,2249.024128705263,231
item_semantic_cluster,2221.971689224243,83
cand_cuisine,1879.504909992218,35
llm_cold_pop_signal,1830.1800717711449,182
copurchase_pairs,1512.0296451449394,110
cand_flavor_profile,1314.8412640094757,55
cand_veg_nonveg,1202.82373970747,44
city,1041.1684892177582,120
meal_period,444.9445013999939,55
is_weekend,437.98058895021677,59
cart_has_drink,404.90690088272095,25
cuisine_city_rank,385.020667552948,40
cart_has_dessert,277.493700504303,20
city_item_signal,250.0049437880516,29
user_is_cold_start,58.03238034248352,6
is_local_favorite,25.182769775390625,3
llm_flavor_harmony,0.0,0
llm_meal_completion,0.0,0
