Customer ID,city,confidence,order_count,score_Delhi,score_Mumbai,score_Bangalore,score_Hyderabad,score_Pune,score_Kolkata
000285ae83ecf06a92b936d4f5b74342edb0e1940e1f00e2d43d28dac93a034e,Hyderabad,1.0,3,1.792,-0.138,0.207,1.982,0.362,0.262
00062fa202370fdd3076b794ec9358f36e35469bb8e5ff60fa06e93c9663f69c,Hyderabad,1.0,1,1.668,0.788,0.338,2.222,0.002,0.423
001ab5fc3ee158b4d22e106897cee9b355e6eed50f163e65265a5f01fa426b54,Mumbai,1.0,1,-0.063,1.379,-0.283,-0.283,-0.893,-0.558
001fdf2511dd137361424c9c15ea54774476691ceec5fa2943b314ae0e9fd536,Mumbai,1.0,1,0.353,1.272,-0.308,0.243,-0.567,-0.352
002afbd83626f0c699892fcb07b2ddf3858911482647b6111ecb44ed50fb6d5e,Bangalore,1.0,4,0.779,0.379,1.899,0.964,0.119,0.284
00360c54a3538e702016303eb89a7c09b0b184505de31168a46d7afad24bdf70,Mumbai,1.0,3,0.531,2.02,0.69,0.793,0.03,0.645
00361e4d62dc6d26377686ba86320049f2e3d76da874fc01a9a1c2ba2d09c14a,Hyderabad,1.0,1,0.562,-0.488,-0.258,0.642,-0.723,-0.633
003671a5324f53acf8b069976c75046e0bc7a29bc23fcc10ba33bc44aec2260a,Delhi,1.0,2,1.679,1.279,0.309,1.459,-0.451,0.134
003790548bf63fa83febbbe45e9cfa3f41797028110c548fc839411be4903619,Hyderabad,1.0,1,0.843,-0.507,-0.037,1.663,-0.275,-0.462
0040ddf9a39d33759d0a37718cddc2f152b0c616bfb458f59951b696bc275e9a,Kolkata,1.0,1,-0.474,-0.157,-0.381,-0.794,0.359,0.644
0047df9b7779533e6ca90f68c85e74a6de814a3ad5eb6ef66e9f02ef59f62c82,Hyderabad,1.0,1,-0.072,-0.622,-0.652,0.748,-1.092,-1.077
004deb39e1d1f81415b145992fa5c50654e48e72b682232f4144951746feddbc,Hyderabad,1.0,1,1.986,0.025,0.15,2.01,-0.025,0.216
0053e678a098e34efed85bea255c00744929e631f6f39b57f68923296088c24f,Mumbai,1.0,1,0.434,1.776,0.442,0.192,-0.168,0.167
00561b299644e5dbeeecc990e8a7661a5a1591c16e1882ccb1a442cdcb85b191,Pune,1.0,1,0.191,0.03,0.08,0.121,1.661,1.646
0056a6c4dbe87d35717d9bcaa9aaa5533d9d23e0ef8a7480c3bf1a89b8132c0a,Delhi,1.0,1,1.598,0.428,0.178,1.234,-0.376,-0.041
005d4e9d4161f568f7c1236703e7820e067f812064db4f5706c1020b460293a3,Bangalore,1.0,1,0.399,0.899,2.069,1.069,0.387,0.717
0066dd90a762676039b39722ae22fa21f9d69276d300ef3d4d821a8ff05272b5,Hyderabad,1.0,5,1.333,0.562,0.337,1.443,-0.212,0.103
0068aef7810f3089585d167e93357fd6a8ea994c2cb1478530c93866f9e6812c,Mumbai,1.0,1,0.244,0.983,-0.317,0.974,-0.236,-0.251
006a90bbae38e8543ed8c5209e89d65f9c38b1df07511ed5eba41df9d0ba7f7a,Hyderabad,1.0,2,1.253,-0.603,-0.208,1.718,-0.149,-0.277
006db245507d81238f94ee36ffed17d61a853f83f0287c9ac857f0b6c5f6d1d2,Delhi,1.0,1,2.014,0.353,0.078,1.694,-0.341,-0.056
