item,order_frequency,total_qty_sold,restaurant,avg_bill_when_present,solo_order_count,multi_order_count,solo_order_ratio,popularity_rank,avg_price_proxy,peak_meal_period
AAC Fried Chicken Burger,8,8,Swaad,985.125,0,8,0.0,146,332.2395833333333,late_night
AAC Fried Paneer Burger,20,22,Swaad,786.8720000000001,1,19,0.05,121,260.09146969696974,dinner
AAC Grilled Chicken Burger,179,210,Swaad,900.1659116022099,36,145,0.2011173184357542,56,389.4020137962099,dinner
AAC Grilled Chicken Burger .,6,7,Swaad,804.0083333333333,1,5,0.16666666666666666,158,404.6694444444444,dinner
AAC Grilled Paneer Burger,33,34,Swaad,768.5542424242425,6,27,0.18181818181818182,100,320.74893939393934,dinner
AAC Saucy Fries,96,100,Swaad,696.6880208333333,21,75,0.21875,73,298.67163194444447,dinner
AAC Signature Crisper Fries,59,66,Swaad,758.3286440677966,20,39,0.3389830508474576,79,286.192763653484,late_night
AAC Signature Fries,99,103,Swaad,837.889494949495,6,93,0.06060606060606061,71,294.67952380952386,dinner
AAC Signature Krispers,6,6,Swaad,907.5,1,5,0.16666666666666666,158,280.19444444444446,late_night
AAC Special Slaw,41,47,Swaad,1028.5146341463415,0,41,0.0,92,311.54979094076657,dinner
All About Chicken Pizza,1631,1728,Aura Pizzas,1108.8816482843138,502,1130,0.3077866339668915,3,563.3266589052287,dinner
Angara Aloo Tuk Tuki,30,32,Swaad,890.9446666666666,1,29,0.03333333333333333,104,288.2634444444444,dinner
Angara Boneless Grilled Chicken Breast,31,33,Tandoori Junction,1037.59375,17,15,0.5483870967741935,103,620.3177083333333,dinner
Angara Grilled Chicken Quarter,2,2,Tandoori Junction,933.5,1,1,0.5,189,616.5,dinner
Angara Grilled Chicken Tangdi (4pcs),2,2,Tandoori Junction,724.0,2,0,1.0,189,724.0,dinner
Angara Grilled Paneer (8 pcs),56,59,Swaad,897.7221428571429,9,47,0.16071428571428573,82,337.4276082251082,dinner
Angara Paneer Melt,666,725,Aura Pizzas,819.4332732732734,204,462,0.3063063063063063,17,407.7618853377186,dinner
Angara Paneer Steak,1,1,Tandoori Junction,1098.0,0,1,0.0,215,549.0,dinner
Angara Rice,93,107,Swaad,879.6693548387096,1,92,0.010752688172043012,74,308.4152956989247,dinner
Angara Sauce,44,50,Swaad,923.0045454545453,1,43,0.022727272727272728,90,220.3229326544667,dinner
Animal Fries,737,779,Swaad,750.9617639077339,240,497,0.3256445047489824,12,361.2606288363378,dinner
Animal Fries .,25,27,Swaad,712.442,7,18,0.28,112,362.43700000000007,snack
Atomic Veg Burger,15,21,Dilli Burger Adda,759.0666666666667,4,11,0.26666666666666666,126,322.9288888888889,dinner
Atomic Veg Burger .,2,2,Dilli Burger Adda,270.0,2,0,1.0,189,270.0,dinner
BC Burger,2,2,Dilli Burger Adda,517.5,1,1,0.5,189,355.0,late_night
Bacon Pepperoni Melt,136,138,Aura Pizzas,1183.0375000000001,22,114,0.16176470588235295,60,495.52230392156855,dinner
Bageecha Pizza,3116,3334,Aura Pizzas,1056.4370952228278,956,2163,0.306803594351733,1,538.9420984595184,dinner
Bageecha Pizza .,3,3,Aura Pizzas,878.3333333333334,2,1,0.6666666666666666,180,559.0,dinner
Bangin' Soya Burger,2,2,Dilli Burger Adda,410.0,1,1,0.5,189,287.5,dinner
Bellpepper Onion Pizza,304,309,Aura Pizzas,1099.138914473684,61,243,0.20065789473684212,36,479.0387944078947,dinner
Bone in Angara Grilled Chicken,445,475,Swaad,729.994798206278,145,301,0.3258426966292135,27,381.3851494768311,dinner
Bone in Angara Grilled Chicken .,4,4,Swaad,522.3225,2,2,0.5,170,286.518125,dinner
Bone in Jamaican Grilled Chicken,1631,1770,Swaad,712.8429756097561,700,940,0.4291845493562232,3,427.7896414053426,dinner
Bone in Jamaican Grilled Chicken .,27,28,Swaad,597.7055555555555,13,14,0.48148148148148145,109,324.60462962962964,dinner
Bone in Jamaican Grilled Chicken Quarter + Angara Rice,127,139,Swaad,620.7451968503937,59,68,0.4645669291338583,64,376.83648950131237,dinner
Bone in Kabuli Grilled Chicken,490,537,Swaad,789.9612753036437,161,333,0.32857142857142857,26,419.9544225949489,dinner
Bone in Peri Peri Grilled Chicken,591,622,Swaad,743.6694247038918,184,407,0.311336717428088,18,386.75051728305533,dinner
Bone in Peri Peri Grilled Chicken .,8,10,Swaad,651.66125,4,4,0.5,146,365.74864583333334,dinner
Bone in Smoky Bbq Grilled Chicken,735,804,Swaad,745.2186118598382,258,484,0.3510204081632653,13,410.05114218328845,dinner
Bone in Smoky Bbq Grilled Chicken .,13,19,Swaad,529.2307692307693,10,3,0.7692307692307693,132,443.46153846153845,dinner
Brocolli Onion Pizza,22,23,Aura Pizzas,952.5454545454545,4,18,0.18181818181818182,115,442.185606060606,dinner
Butter Chicken Grilled Burger,4,4,Dilli Burger Adda,606.5,2,2,0.5,170,355.8333333333333,dinner
Cafreal Sauce,28,31,Aura Pizzas,1032.590357142857,2,26,0.07142857142857142,107,253.10974072356217,dinner
Cafreal dip,20,21,Swaad,885.05,0,20,0.0,121,229.10738095238094,dinner
